repository,config,mcc
arillso/ansible.logrotate,config_1_1,0.125
arillso/ansible.logrotate,config_1_2,0.125
arillso/ansible.logrotate,config_2_0,0.125
arillso/ansible.logrotate,config_2_1,0.04167
arillso/ansible.logrotate,config_2_2,0.125
automium/service-kubernetes,config_0_0,0.48062
automium/service-kubernetes,config_0_1,0.47989
automium/service-kubernetes,config_0_2,0.47704
automium/service-kubernetes,config_1_0,0.47272
automium/service-kubernetes,config_1_1,0.47645
automium/service-kubernetes,config_1_2,0.47219
automium/service-kubernetes,config_2_0,0.50134
automium/service-kubernetes,config_2_1,0.49579
automium/service-kubernetes,config_2_2,0.49579
caktus/tequila-django,config_0_0,0.92125
caktus/tequila-django,config_0_1,0.94165
caktus/tequila-django,config_0_2,0.94165
caktus/tequila-django,config_1_0,0.75324
caktus/tequila-django,config_1_1,0.7804
caktus/tequila-django,config_1_2,0.75506
caktus/tequila-django,config_2_0,0.90085
caktus/tequila-django,config_2_1,0.90085
caktus/tequila-django,config_2_2,0.90085
cloudalchemy/ansible-alertmanager,config_0_0,0.65143
cloudalchemy/ansible-alertmanager,config_0_1,0.63678
cloudalchemy/ansible-alertmanager,config_0_2,0.64136
cloudalchemy/ansible-alertmanager,config_1_0,0.72521
cloudalchemy/ansible-alertmanager,config_1_1,0.66996
cloudalchemy/ansible-alertmanager,config_1_2,0.6846
cloudalchemy/ansible-alertmanager,config_2_0,0.61621
cloudalchemy/ansible-alertmanager,config_2_1,0.61621
cloudalchemy/ansible-alertmanager,config_2_2,0.63906
cloudalchemy/ansible-blackbox-exporter,config_0_0,100.000
cloudalchemy/ansible-blackbox-exporter,config_0_1,100.000
cloudalchemy/ansible-blackbox-exporter,config_0_2,100.000
cloudalchemy/ansible-blackbox-exporter,config_1_0,100.000
cloudalchemy/ansible-blackbox-exporter,config_1_1,100.000
cloudalchemy/ansible-blackbox-exporter,config_1_2,100.000
cloudalchemy/ansible-blackbox-exporter,config_2_0,100.000
cloudalchemy/ansible-blackbox-exporter,config_2_1,100.000
cloudalchemy/ansible-blackbox-exporter,config_2_2,100.000
cloudalchemy/ansible-grafana,config_0_0,0.71925
cloudalchemy/ansible-grafana,config_0_1,0.71925
cloudalchemy/ansible-grafana,config_0_2,0.71455
