repository,config,rank
Oefenweb/ansible-supervisor,config_2_1,5.0
Oefenweb/ansible-supervisor,config_2_2,5.0
openstack/openstack-ansible-os_neutron,config_0_0,0.5
openstack/openstack-ansible-os_neutron,config_0_1,2.0
openstack/openstack-ansible-os_neutron,config_0_2,0.5
openstack/openstack-ansible-os_neutron,config_1_0,6.0
openstack/openstack-ansible-os_neutron,config_1_1,7.0
openstack/openstack-ansible-os_neutron,config_1_2,8.0
openstack/openstack-ansible-os_neutron,config_2_0,3.0
openstack/openstack-ansible-os_neutron,config_2_1,4.5
openstack/openstack-ansible-os_neutron,config_2_2,4.5
openstack/openstack-ansible-os_nova,config_0_0,2.0
openstack/openstack-ansible-os_nova,config_0_1,0.0
openstack/openstack-ansible-os_nova,config_0_2,1.0
openstack/openstack-ansible-os_nova,config_1_0,7.0
openstack/openstack-ansible-os_nova,config_1_1,6.0
openstack/openstack-ansible-os_nova,config_1_2,8.0
openstack/openstack-ansible-os_nova,config_2_0,4.0
openstack/openstack-ansible-os_nova,config_2_1,3.0
openstack/openstack-ansible-os_nova,config_2_2,5.0
openstack/openstack-ansible-rabbitmq_server,config_0_0,0.0
openstack/openstack-ansible-rabbitmq_server,config_0_1,1.5
openstack/openstack-ansible-rabbitmq_server,config_0_2,1.5
openstack/openstack-ansible-rabbitmq_server,config_1_0,6.0
openstack/openstack-ansible-rabbitmq_server,config_1_1,7.0
openstack/openstack-ansible-rabbitmq_server,config_1_2,8.0
openstack/openstack-ansible-rabbitmq_server,config_2_0,3.5
openstack/openstack-ansible-rabbitmq_server,config_2_1,5.0
openstack/openstack-ansible-rabbitmq_server,config_2_2,3.5
openwisp/ansible-openwisp2,config_0_0,0.0
openwisp/ansible-openwisp2,config_0_1,2.0
openwisp/ansible-openwisp2,config_0_2,1.0
openwisp/ansible-openwisp2,config_1_0,8.0
openwisp/ansible-openwisp2,config_1_1,6.0
openwisp/ansible-openwisp2,config_1_2,7.0
openwisp/ansible-openwisp2,config_2_0,4.0
openwisp/ansible-openwisp2,config_2_1,5.0
openwisp/ansible-openwisp2,config_2_2,3.0
oVirt/ovirt-ansible-disaster-recovery,config_0_0,1.0
oVirt/ovirt-ansible-disaster-recovery,config_0_1,0.0
oVirt/ovirt-ansible-disaster-recovery,config_0_2,2.0
oVirt/ovirt-ansible-disaster-recovery,config_1_0,8.0
oVirt/ovirt-ansible-disaster-recovery,config_1_1,7.0
oVirt/ovirt-ansible-disaster-recovery,config_1_2,6.0
oVirt/ovirt-ansible-disaster-recovery,config_2_0,3.5
oVirt/ovirt-ansible-disaster-recovery,config_2_1,3.5
oVirt/ovirt-ansible-disaster-recovery,config_2_2,5.0
oVirt/ovirt-ansible-hosted-engine-setup,config_0_0,1.0
oVirt/ovirt-ansible-hosted-engine-setup,config_0_1,2.0
oVirt/ovirt-ansible-hosted-engine-setup,config_0_2,0.0
oVirt/ovirt-ansible-hosted-engine-setup,config_1_0,5.0
oVirt/ovirt-ansible-hosted-engine-setup,config_1_1,7.0
oVirt/ovirt-ansible-hosted-engine-setup,config_1_2,8.0
oVirt/ovirt-ansible-hosted-engine-setup,config_2_0,4.0
oVirt/ovirt-ansible-hosted-engine-setup,config_2_1,3.0
oVirt/ovirt-ansible-hosted-engine-setup,config_2_2,6.0
PyratLabs/ansible-role-k3s,config_0_0,1.0
PyratLabs/ansible-role-k3s,config_0_1,1.0
PyratLabs/ansible-role-k3s,config_0_2,1.0
PyratLabs/ansible-role-k3s,config_1_0,8.0
PyratLabs/ansible-role-k3s,config_1_1,3.0
PyratLabs/ansible-role-k3s,config_1_2,6.0
PyratLabs/ansible-role-k3s,config_2_0,4.5
PyratLabs/ansible-role-k3s,config_2_1,4.5
PyratLabs/ansible-role-k3s,config_2_2,7.0
riemers/ansible-gitlab-runner,config_0_0,8.0
riemers/ansible-gitlab-runner,config_0_1,7.0
riemers/ansible-gitlab-runner,config_0_2,6.0
riemers/ansible-gitlab-runner,config_1_0,5.0
riemers/ansible-gitlab-runner,config_1_1,4.0
riemers/ansible-gitlab-runner,config_1_2,3.0
riemers/ansible-gitlab-runner,config_2_0,0.0
riemers/ansible-gitlab-runner,config_2_1,1.0
riemers/ansible-gitlab-runner,config_2_2,2.0
rvm/rvm1-ansible,config_0_0,7.0
rvm/rvm1-ansible,config_0_1,2.5
rvm/rvm1-ansible,config_0_2,2.5
rvm/rvm1-ansible,config_1_0,2.5
rvm/rvm1-ansible,config_1_1,2.5
rvm/rvm1-ansible,config_1_2,2.5
rvm/rvm1-ansible,config_2_0,7.0
rvm/rvm1-ansible,config_2_1,7.0
rvm/rvm1-ansible,config_2_2,2.5
sensu/sensu-ansible,config_0_0,4.0
sensu/sensu-ansible,config_0_1,4.0
sensu/sensu-ansible,config_0_2,4.0
sensu/sensu-ansible,config_1_0,1.0
sensu/sensu-ansible,config_1_1,1.0
sensu/sensu-ansible,config_1_2,1.0
sensu/sensu-ansible,config_2_0,8.0
sensu/sensu-ansible,config_2_1,6.5
sensu/sensu-ansible,config_2_2,6.5
stackbuilders/sb-debian-base,config_0_0,3.0
stackbuilders/sb-debian-base,config_0_1,4.0
stackbuilders/sb-debian-base,config_0_2,5.0
stackbuilders/sb-debian-base,config_1_0,6.0
stackbuilders/sb-debian-base,config_1_1,7.0
stackbuilders/sb-debian-base,config_1_2,8.0
stackbuilders/sb-debian-base,config_2_0,2.0
stackbuilders/sb-debian-base,config_2_1,1.0
stackbuilders/sb-debian-base,config_2_2,0.0
stackhpc/ansible-role-libvirt-vm,config_0_0,4.0
stackhpc/ansible-role-libvirt-vm,config_0_1,4.0
stackhpc/ansible-role-libvirt-vm,config_0_2,4.0
stackhpc/ansible-role-libvirt-vm,config_1_0,4.0
stackhpc/ansible-role-libvirt-vm,config_1_1,4.0
stackhpc/ansible-role-libvirt-vm,config_1_2,4.0
stackhpc/ansible-role-libvirt-vm,config_2_0,4.0
stackhpc/ansible-role-libvirt-vm,config_2_1,4.0
stackhpc/ansible-role-libvirt-vm,config_2_2,4.0
stackhpc/ansible-role-os-images,config_0_0,4.0
stackhpc/ansible-role-os-images,config_0_1,4.0
stackhpc/ansible-role-os-images,config_0_2,4.0
stackhpc/ansible-role-os-images,config_1_0,4.0
stackhpc/ansible-role-os-images,config_1_1,4.0
stackhpc/ansible-role-os-images,config_1_2,4.0
stackhpc/ansible-role-os-images,config_2_0,4.0
stackhpc/ansible-role-os-images,config_2_1,4.0
stackhpc/ansible-role-os-images,config_2_2,4.0
stone-payments/ansible-rabbitmq,config_0_0,2.5
stone-payments/ansible-rabbitmq,config_0_1,2.5
stone-payments/ansible-rabbitmq,config_0_2,2.5
stone-payments/ansible-rabbitmq,config_1_0,6.5
stone-payments/ansible-rabbitmq,config_1_1,8.0
stone-payments/ansible-rabbitmq,config_1_2,6.5
stone-payments/ansible-rabbitmq,config_2_0,2.5
stone-payments/ansible-rabbitmq,config_2_1,2.5
stone-payments/ansible-rabbitmq,config_2_2,2.5
tulibraries/ansible-role-airflow,config_0_0,5.5
tulibraries/ansible-role-airflow,config_0_1,5.5
tulibraries/ansible-role-airflow,config_0_2,5.5
tulibraries/ansible-role-airflow,config_1_0,1.0
tulibraries/ansible-role-airflow,config_1_1,1.0
tulibraries/ansible-role-airflow,config_1_2,1.0
tulibraries/ansible-role-airflow,config_2_0,5.5
tulibraries/ansible-role-airflow,config_2_1,5.5
tulibraries/ansible-role-airflow,config_2_2,5.5
UnderGreen/ansible-role-mongodb,config_0_0,7.0
UnderGreen/ansible-role-mongodb,config_0_1,5.0
UnderGreen/ansible-role-mongodb,config_0_2,6.0
UnderGreen/ansible-role-mongodb,config_1_0,4.0
UnderGreen/ansible-role-mongodb,config_1_1,8.0
UnderGreen/ansible-role-mongodb,config_1_2,3.0
UnderGreen/ansible-role-mongodb,config_2_0,2.0
UnderGreen/ansible-role-mongodb,config_2_1,0.0
UnderGreen/ansible-role-mongodb,config_2_2,1.0
viasite-ansible/ansible-role-zsh,config_0_0,3.5
viasite-ansible/ansible-role-zsh,config_0_1,0.0
viasite-ansible/ansible-role-zsh,config_0_2,3.5
viasite-ansible/ansible-role-zsh,config_1_0,8.0
viasite-ansible/ansible-role-zsh,config_1_1,7.0
viasite-ansible/ansible-role-zsh,config_1_2,6.0
viasite-ansible/ansible-role-zsh,config_2_0,3.5
viasite-ansible/ansible-role-zsh,config_2_1,1.0
viasite-ansible/ansible-role-zsh,config_2_2,3.5
wcm-io-devops/ansible-conga-ansible-controlhost,config_0_0,0.0
wcm-io-devops/ansible-conga-ansible-controlhost,config_0_1,3.0
wcm-io-devops/ansible-conga-ansible-controlhost,config_0_2,3.0
wcm-io-devops/ansible-conga-ansible-controlhost,config_1_0,6.0
wcm-io-devops/ansible-conga-ansible-controlhost,config_1_1,7.5
wcm-io-devops/ansible-conga-ansible-controlhost,config_1_2,7.5
wcm-io-devops/ansible-conga-ansible-controlhost,config_2_0,3.0
wcm-io-devops/ansible-conga-ansible-controlhost,config_2_1,3.0
wcm-io-devops/ansible-conga-ansible-controlhost,config_2_2,3.0
willshersystems/ansible-sshd,config_0_0,2.5
willshersystems/ansible-sshd,config_0_1,2.5
willshersystems/ansible-sshd,config_0_2,7.0
willshersystems/ansible-sshd,config_1_0,7.0
willshersystems/ansible-sshd,config_1_1,7.0
willshersystems/ansible-sshd,config_1_2,2.5
willshersystems/ansible-sshd,config_2_0,2.5
willshersystems/ansible-sshd,config_2_1,2.5
willshersystems/ansible-sshd,config_2_2,2.5
