repository,config,rank
arillso/ansible.logrotate,config_2_2,3.0
automium/service-kubernetes,config_0_0,3.0
automium/service-kubernetes,config_0_1,4.0
automium/service-kubernetes,config_0_2,5.0
automium/service-kubernetes,config_1_0,7.0
automium/service-kubernetes,config_1_1,6.0
automium/service-kubernetes,config_1_2,8.0
automium/service-kubernetes,config_2_0,0.0
automium/service-kubernetes,config_2_1,1.5
automium/service-kubernetes,config_2_2,1.5
caktus/tequila-django,config_0_0,2.0
caktus/tequila-django,config_0_1,0.5
caktus/tequila-django,config_0_2,0.5
caktus/tequila-django,config_1_0,8.0
caktus/tequila-django,config_1_1,6.0
caktus/tequila-django,config_1_2,7.0
caktus/tequila-django,config_2_0,4.0
caktus/tequila-django,config_2_1,4.0
caktus/tequila-django,config_2_2,4.0
cloudalchemy/ansible-alertmanager,config_0_0,3.0
cloudalchemy/ansible-alertmanager,config_0_1,6.0
cloudalchemy/ansible-alertmanager,config_0_2,4.0
cloudalchemy/ansible-alertmanager,config_1_0,0.0
cloudalchemy/ansible-alertmanager,config_1_1,2.0
cloudalchemy/ansible-alertmanager,config_1_2,1.0
cloudalchemy/ansible-alertmanager,config_2_0,7.5
cloudalchemy/ansible-alertmanager,config_2_1,7.5
cloudalchemy/ansible-alertmanager,config_2_2,5.0
cloudalchemy/ansible-blackbox-exporter,config_0_0,4.0
cloudalchemy/ansible-blackbox-exporter,config_0_1,4.0
cloudalchemy/ansible-blackbox-exporter,config_0_2,4.0
cloudalchemy/ansible-blackbox-exporter,config_1_0,4.0
cloudalchemy/ansible-blackbox-exporter,config_1_1,4.0
cloudalchemy/ansible-blackbox-exporter,config_1_2,4.0
cloudalchemy/ansible-blackbox-exporter,config_2_0,4.0
cloudalchemy/ansible-blackbox-exporter,config_2_1,4.0
cloudalchemy/ansible-blackbox-exporter,config_2_2,4.0
cloudalchemy/ansible-grafana,config_0_0,0.5
cloudalchemy/ansible-grafana,config_0_1,0.5
cloudalchemy/ansible-grafana,config_0_2,2.0
cloudalchemy/ansible-grafana,config_1_0,6.0
cloudalchemy/ansible-grafana,config_1_1,8.0
cloudalchemy/ansible-grafana,config_1_2,7.0
cloudalchemy/ansible-grafana,config_2_0,4.0
cloudalchemy/ansible-grafana,config_2_1,3.0
cloudalchemy/ansible-grafana,config_2_2,5.0
cloudalchemy/ansible-node-exporter,config_0_0,4.0
cloudalchemy/ansible-node-exporter,config_0_1,4.0
cloudalchemy/ansible-node-exporter,config_0_2,7.0
cloudalchemy/ansible-node-exporter,config_1_0,0.5
cloudalchemy/ansible-node-exporter,config_1_1,0.5
cloudalchemy/ansible-node-exporter,config_1_2,2.0
cloudalchemy/ansible-node-exporter,config_2_0,7.0
cloudalchemy/ansible-node-exporter,config_2_1,4.0
cloudalchemy/ansible-node-exporter,config_2_2,7.0
cloudalchemy/ansible-prometheus,config_0_0,1.0
cloudalchemy/ansible-prometheus,config_0_1,1.0
cloudalchemy/ansible-prometheus,config_0_2,1.0
cloudalchemy/ansible-prometheus,config_1_0,7.0
cloudalchemy/ansible-prometheus,config_1_1,6.0
cloudalchemy/ansible-prometheus,config_1_2,8.0
cloudalchemy/ansible-prometheus,config_2_0,5.0
cloudalchemy/ansible-prometheus,config_2_1,3.5
cloudalchemy/ansible-prometheus,config_2_2,3.5
cloudalchemy/ansible-pushgateway,config_0_0,2.5
cloudalchemy/ansible-pushgateway,config_0_1,2.5
cloudalchemy/ansible-pushgateway,config_0_2,2.5
cloudalchemy/ansible-pushgateway,config_1_0,6.5
cloudalchemy/ansible-pushgateway,config_1_1,8.0
cloudalchemy/ansible-pushgateway,config_1_2,6.5
cloudalchemy/ansible-pushgateway,config_2_0,2.5
cloudalchemy/ansible-pushgateway,config_2_1,2.5
cloudalchemy/ansible-pushgateway,config_2_2,2.5
cloudalchemy/ansible-smokeping_prober,config_0_0,4.0
cloudalchemy/ansible-smokeping_prober,config_0_1,4.0
cloudalchemy/ansible-smokeping_prober,config_0_2,4.0
cloudalchemy/ansible-smokeping_prober,config_1_0,4.0
cloudalchemy/ansible-smokeping_prober,config_1_1,4.0
cloudalchemy/ansible-smokeping_prober,config_1_2,4.0
cloudalchemy/ansible-smokeping_prober,config_2_0,4.0
cloudalchemy/ansible-smokeping_prober,config_2_1,4.0
cloudalchemy/ansible-smokeping_prober,config_2_2,4.0
CoffeeITWorks/ansible_burp2_server,config_0_0,5.0
CoffeeITWorks/ansible_burp2_server,config_0_1,4.0
CoffeeITWorks/ansible_burp2_server,config_0_2,0.0
CoffeeITWorks/ansible_burp2_server,config_1_0,6.0
CoffeeITWorks/ansible_burp2_server,config_1_1,7.0
CoffeeITWorks/ansible_burp2_server,config_1_2,8.0
CoffeeITWorks/ansible_burp2_server,config_2_0,2.0
CoffeeITWorks/ansible_burp2_server,config_2_1,2.0
CoffeeITWorks/ansible_burp2_server,config_2_2,2.0
CSCfi/ansible-role-slurm,config_0_0,4.0
CSCfi/ansible-role-slurm,config_0_1,0.0
CSCfi/ansible-role-slurm,config_0_2,5.0
CSCfi/ansible-role-slurm,config_1_0,8.0
CSCfi/ansible-role-slurm,config_1_1,7.0
CSCfi/ansible-role-slurm,config_1_2,6.0
CSCfi/ansible-role-slurm,config_2_0,3.0
CSCfi/ansible-role-slurm,config_2_1,1.0
CSCfi/ansible-role-slurm,config_2_2,2.0
CSCfi/ansible-role-users,config_0_0,4.0
CSCfi/ansible-role-users,config_0_1,4.0
CSCfi/ansible-role-users,config_0_2,4.0
CSCfi/ansible-role-users,config_1_0,4.0
CSCfi/ansible-role-users,config_1_1,4.0
CSCfi/ansible-role-users,config_1_2,4.0
CSCfi/ansible-role-users,config_2_0,4.0
CSCfi/ansible-role-users,config_2_1,4.0
CSCfi/ansible-role-users,config_2_2,4.0
DataDog/ansible-datadog,config_0_0,2.5
DataDog/ansible-datadog,config_0_1,2.5
DataDog/ansible-datadog,config_0_2,2.5
DataDog/ansible-datadog,config_1_0,6.0
DataDog/ansible-datadog,config_1_1,7.5
DataDog/ansible-datadog,config_1_2,7.5
DataDog/ansible-datadog,config_2_0,2.5
DataDog/ansible-datadog,config_2_1,2.5
DataDog/ansible-datadog,config_2_2,2.5
DavidWittman/ansible-redis,config_0_0,3.0
DavidWittman/ansible-redis,config_0_1,2.0
DavidWittman/ansible-redis,config_0_2,5.0
DavidWittman/ansible-redis,config_1_0,7.0
DavidWittman/ansible-redis,config_1_1,8.0
DavidWittman/ansible-redis,config_1_2,4.0
DavidWittman/ansible-redis,config_2_0,1.0
DavidWittman/ansible-redis,config_2_1,0.0
DavidWittman/ansible-redis,config_2_2,6.0
diodonfrost/ansible-role-mariadb,config_0_0,2.5
diodonfrost/ansible-role-mariadb,config_0_1,2.5
diodonfrost/ansible-role-mariadb,config_0_2,2.5
diodonfrost/ansible-role-mariadb,config_1_0,7.5
diodonfrost/ansible-role-mariadb,config_1_1,7.5
diodonfrost/ansible-role-mariadb,config_1_2,6.0
diodonfrost/ansible-role-mariadb,config_2_0,2.5
diodonfrost/ansible-role-mariadb,config_2_1,2.5
diodonfrost/ansible-role-mariadb,config_2_2,2.5
dj-wasabi/ansible-telegraf,config_0_0,3.0
dj-wasabi/ansible-telegraf,config_0_1,5.0
dj-wasabi/ansible-telegraf,config_0_2,4.0
dj-wasabi/ansible-telegraf,config_1_0,7.0
dj-wasabi/ansible-telegraf,config_1_1,6.0
dj-wasabi/ansible-telegraf,config_1_2,8.0
dj-wasabi/ansible-telegraf,config_2_0,1.0
dj-wasabi/ansible-telegraf,config_2_1,0.0
dj-wasabi/ansible-telegraf,config_2_2,2.0
dokku/ansible-dokku,config_0_0,2.5
dokku/ansible-dokku,config_0_1,0.0
dokku/ansible-dokku,config_0_2,2.5
dokku/ansible-dokku,config_1_0,7.0
dokku/ansible-dokku,config_1_1,5.5
dokku/ansible-dokku,config_1_2,8.0
dokku/ansible-dokku,config_2_0,2.5
